,chit_id,p_recno,collateral,chit_value,duration,monthly_contribution,year
0,AB-002-01,8381,,90000.0,30.0,3000.0,1999.0
1,AB-002-02,8382,,90000.0,30.0,3000.0,1999.0
2,AB-002-03,8382,,90000.0,30.0,3000.0,1999.0
3,AB-002-04,8382,,90000.0,30.0,3000.0,1999.0
4,AB-002-05,7363,,90000.0,30.0,3000.0,1999.0
5,AB-002-06,8383,,90000.0,30.0,3000.0,1999.0
6,AB-002-07,8383,,90000.0,30.0,3000.0,1999.0
7,AB-002-08,4164,,90000.0,30.0,3000.0,1999.0
8,AB-002-09,7364,,90000.0,30.0,3000.0,1999.0
9,AB-002-10,7365,,90000.0,30.0,3000.0,1999.0
10,AB-002-11,7371,,90000.0,30.0,3000.0,1999.0
11,AB-002-12,8384,,90000.0,30.0,3000.0,1999.0
12,AB-002-13,8521,,90000.0,30.0,3000.0,1999.0
13,AB-002-14,8385,,90000.0,30.0,3000.0,1999.0
14,AB-002-15,8386,,90000.0,30.0,3000.0,1999.0
15,AB-002-16,8387,,90000.0,30.0,3000.0,1999.0
16,AB-002-17,3805,,90000.0,30.0,3000.0,1999.0
17,AB-002-18,310,,90000.0,30.0,3000.0,1999.0
18,AB-002-19,310,,90000.0,30.0,3000.0,1999.0
19,AB-002-20,8388,,90000.0,30.0,3000.0,1999.0
20,AB-002-21,1455,,90000.0,30.0,3000.0,1999.0
21,AB-002-22,8389,,90000.0,30.0,3000.0,1999.0
22,AB-002-23,7419,,90000.0,30.0,3000.0,1999.0
23,AB-002-24,8390,,90000.0,30.0,3000.0,1999.0
24,AB-002-25,4134,,90000.0,30.0,3000.0,1999.0
25,AB-002-26,160,,90000.0,30.0,3000.0,1999.0
26,AB-002-27,399,,90000.0,30.0,3000.0,1999.0
27,AB-002-28,8288,,90000.0,30.0,3000.0,1999.0
28,AB-002-29,8391,,90000.0,30.0,3000.0,1999.0
29,AB-002-30,8396,,90000.0,30.0,3000.0,1999.0
30,AB-003-01,7359,,90000.0,30.0,3000.0,1999.0
31,AB-003-02,8523,,90000.0,30.0,3000.0,1999.0
32,AB-003-03,886,,90000.0,30.0,3000.0,1999.0
33,AB-003-04,3813,,90000.0,30.0,3000.0,1999.0
34,AB-003-05,8524,,90000.0,30.0,3000.0,1999.0
35,AB-003-06,8525,,90000.0,30.0,3000.0,1999.0
36,AB-003-07,7368,,90000.0,30.0,3000.0,1999.0
37,AB-003-08,7364,,90000.0,30.0,3000.0,1999.0
38,AB-003-09,7365,,90000.0,30.0,3000.0,1999.0
39,AB-003-10,7365,,90000.0,30.0,3000.0,1999.0
40,AB-003-11,3643,,90000.0,30.0,3000.0,1999.0
41,AB-003-12,7363,,90000.0,30.0,3000.0,1999.0
42,AB-003-13,8526,,90000.0,30.0,3000.0,1999.0
43,AB-003-14,8527,,90000.0,30.0,3000.0,1999.0
44,AB-003-15,7362,,90000.0,30.0,3000.0,1999.0
45,AB-003-16,105,,90000.0,30.0,3000.0,1999.0
46,AB-003-17,8528,,90000.0,30.0,3000.0,1999.0
47,AB-003-18,7373,,90000.0,30.0,3000.0,1999.0
48,AB-003-19,8529,,90000.0,30.0,3000.0,1999.0
49,AB-003-20,8530,,90000.0,30.0,3000.0,1999.0
50,AB-003-21,8530,,90000.0,30.0,3000.0,1999.0
51,AB-003-22,403,,90000.0,30.0,3000.0,1999.0
52,AB-003-23,9145,,90000.0,30.0,3000.0,1999.0
53,AB-003-24,8531,,90000.0,30.0,3000.0,1999.0
54,AB-003-25,356,,90000.0,30.0,3000.0,1999.0
