,chit,chit_id,p_recno,winning_aucn,duration,fman,surety_p_recno,n_surety,age,salary,sex,occupation,other_chits,surety_others,years_of_service,house_owner,land_owner,income_tax,insurance_policy,insurance_amount,res_pin,off_pin,chit_value,monthly_contribution,year
0,AB-002,AB-002-01,8381,19.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
1,AB-002,AB-002-02,8382,8.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
2,AB-002,AB-002-03,8382,18.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
3,AB-002,AB-002-04,8382,30.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
4,AB-002,AB-002-05,7363,7.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
5,AB-002,AB-002-06,8383,5.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
6,AB-002,AB-002-07,8383,6.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
7,AB-002,AB-002-08,4164,1.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
8,AB-002,AB-002-09,7364,24.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
9,AB-002,AB-002-10,7365,2.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
10,AB-002,AB-002-11,7371,26.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
11,AB-002,AB-002-12,8384,16.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
12,AB-002,AB-002-13,8521,23.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
13,AB-002,AB-002-14,8385,21.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
14,AB-002,AB-002-15,8386,20.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
15,AB-002,AB-002-16,8387,13.0,30.0,0.0,,,,,,,,,,,,,,,,,90000.0,3000.0,1999.0
